"coexpression","coexpression_transferred","combined_score","cooccurence","database","database_transferred","experiments","experiments_transferred","fusion","homology","interaction","name","neighborhood","neighborhood_transferred","protein1","protein2","selected","shared interaction","shared name","textmining","textmining_transferred"
"336","119","599","0","0","0","0","0","0","0","interacts with","GPR65 (interacts with) TAGAP","0","0","9606.ENSP00000267549","9606.ENSP00000356033","false","interacts with","GPR65 (interacts with) TAGAP","218","227"
"332","0","332","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) SAMSN1","0","0","9606.ENSP00000356033","9606.ENSP00000285670","false","interacts with","TAGAP (interacts with) SAMSN1","0","0"
"65","0","201","0","0","0","0","0","0","0","interacts with","CLEC10A (interacts with) BST2","0","0","9606.ENSP00000254868","9606.ENSP00000252593","false","interacts with","CLEC10A (interacts with) BST2","181","0"
"251","0","250","0","0","0","0","0","0","0","interacts with","MS4A6A (interacts with) TAGAP","0","0","9606.ENSP00000392770","9606.ENSP00000356033","false","interacts with","MS4A6A (interacts with) TAGAP","0","0"
"214","0","214","0","0","0","0","0","0","0","interacts with","PLCB2 (interacts with) GIMAP7","0","0","9606.ENSP00000260402","9606.ENSP00000315474","false","interacts with","PLCB2 (interacts with) GIMAP7","0","0"
"139","76","170","0","0","0","0","0","0","0","interacts with","CD79A (interacts with) GIMAP7","0","0","9606.ENSP00000221972","9606.ENSP00000315474","false","interacts with","CD79A (interacts with) GIMAP7","0","0"
"117","67","155","0","0","0","0","0","0","0","interacts with","CTLA4 (interacts with) GIMAP7","0","0","9606.ENSP00000303939","9606.ENSP00000315474","false","interacts with","CTLA4 (interacts with) GIMAP7","57","0"
"174","0","326","0","0","0","0","0","0","0","interacts with","FCGR2A (interacts with) TAGAP","0","0","9606.ENSP00000271450","9606.ENSP00000356033","false","interacts with","FCGR2A (interacts with) TAGAP","218","0"
"146","0","168","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) SAMSN1","0","0","9606.ENSP00000353099","9606.ENSP00000285670","false","interacts with","HLA-DRB1 (interacts with) SAMSN1","66","0"
"88","62","151","0","0","0","0","0","0","0","interacts with","IRF1 (interacts with) GIMAP7","0","0","9606.ENSP00000245414","9606.ENSP00000315474","false","interacts with","IRF1 (interacts with) GIMAP7","46","83"
"192","0","192","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) SAMSN1","0","0","9606.ENSP00000315474","9606.ENSP00000285670","false","interacts with","GIMAP7 (interacts with) SAMSN1","0","0"
"0","0","183","0","0","0","0","0","0","0","interacts with","GPR65 (interacts with) BACH2","0","0","9606.ENSP00000267549","9606.ENSP00000257749","false","interacts with","GPR65 (interacts with) BACH2","144","85"
"192","0","192","0","0","0","0","0","0","0","interacts with","SAMSN1 (interacts with) GIMAP7","0","0","9606.ENSP00000285670","9606.ENSP00000315474","false","interacts with","SAMSN1 (interacts with) GIMAP7","0","0"
"0","0","196","0","0","0","0","0","0","0","interacts with","IFNG (interacts with) BACH2","0","0","9606.ENSP00000229135","9606.ENSP00000257749","false","interacts with","IFNG (interacts with) BACH2","107","137"
"0","0","432","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) BACH2","0","0","9606.ENSP00000356033","9606.ENSP00000257749","false","interacts with","TAGAP (interacts with) BACH2","432","0"
"557","83","662","0","0","0","0","0","0","0","interacts with","PLEK (interacts with) TAGAP","0","0","9606.ENSP00000234313","9606.ENSP00000356033","false","interacts with","PLEK (interacts with) TAGAP","235","0"
"0","0","159","0","0","0","0","0","0","0","interacts with","ISG15 (interacts with) HLA-DQA1","0","0","9606.ENSP00000368699","9606.ENSP00000339398","false","interacts with","ISG15 (interacts with) HLA-DQA1","160","0"
"106","62","152","0","0","0","0","0","0","0","interacts with","CD8B (interacts with) SAMSN1","0","0","9606.ENSP00000331172","9606.ENSP00000285670","false","interacts with","CD8B (interacts with) SAMSN1","0","70"
"214","0","214","0","0","0","0","0","0","0","interacts with","GMFG (interacts with) GIMAP7","0","0","9606.ENSP00000472249","9606.ENSP00000315474","false","interacts with","GMFG (interacts with) GIMAP7","0","0"
